Designator,Mid X,Mid Y,Rotation,Layer
D1,-276.225232,-31.687528,90.0,bottom
D10,-238.125,-44.5125,90.0,bottom
D11,-257.175,-49.275,90.0,bottom
D12,-276.225,-51.65625,90.0,bottom
D13,-276.125,-70.70625,90.0,bottom
D14,-257.075,-68.325,90.0,bottom
D15,-238.025,-63.5625,90.0,bottom
D16,-218.975,-63.5625,90.0,bottom
D17,-199.925,-65.94375,90.0,bottom
D18,-180.875,-68.325,90.0,bottom
D19,-207.16875,-87.375,90.0,bottom
D2,-257.175,-30.225,90.0,bottom
D20,-209.55,-87.375,90.0,bottom
D21,-228.6,-87.375,90.0,bottom
D22,-276.225,-89.75625,90.0,bottom
D23,-14.1875,-32.60625,90.0,bottom
D24,-14.1875,-51.65625,90.0,bottom
D25,-14.1875,-70.70625,90.0,bottom
D26,-14.2875,-89.75625,90.0,bottom
D27,-33.2375,-32.60625,90.0,bottom
D28,-33.2375,-51.65625,90.0,bottom
D29,-33.2375,-70.70625,90.0,bottom
D3,-238.125,-25.4625,90.0,bottom
D30,-52.2875,-30.225,90.0,bottom
D31,-52.2875,-49.275,90.0,bottom
D32,-52.2875,-68.325,90.0,bottom
D33,-71.3375,-25.4625,90.0,bottom
D34,-71.3375,-44.5125,90.0,bottom
D35,-71.3375,-63.5625,90.0,bottom
D36,-80.9625,-87.375,90.0,bottom
D37,-90.3875,-25.4625,90.0,bottom
D38,-90.3875,-44.5125,90.0,bottom
D39,-90.3875,-63.5625,90.0,bottom
D4,-219.075,-25.4625,90.0,bottom
D40,-100.0125,-87.375,90.0,bottom
D41,-109.4375,-27.84375,90.0,bottom
D42,-109.4375,-46.89375,90.0,bottom
D43,-109.4375,-65.94375,90.0,bottom
D44,-102.39375,-87.375,90.0,bottom
D5,-200.025,-27.84375,90.0,bottom
D6,-180.975,-30.225,90.0,bottom
D7,-180.975,-49.275,90.0,bottom
D8,-200.025,-46.89375,90.0,bottom
D9,-219.075,-44.5125,90.0,bottom
H1,-173.83125,-71.4375,0.0,top
H2,-161.925,-76.2,0.0,top
H3,-135.73125,-71.4375,0.0,top
H4,-147.6375,-76.2,0.0,top
J1,-166.222501,-54.76875,90.0,top
J2,-143.352499,-54.768749,90.0,top
LED1,-190.5,-35.71875,0.0,bottom
LED10,-228.6,-47.625,0.0,bottom
LED11,-209.55,-52.3875,0.0,bottom
LED12,-190.5,-54.76875,0.0,bottom
LED13,-190.5,-73.81875,0.0,bottom
LED14,-209.55,-71.4375,0.0,bottom
LED15,-228.6,-66.675,0.0,bottom
LED16,-247.65,-71.4375,0.0,bottom
LED17,-266.7,-76.2,0.0,bottom
LED18,-285.75,-76.2,0.0,bottom
LED19,-285.75,-95.25,0.0,bottom
LED2,-209.55,-33.3375,0.0,bottom
LED20,-219.075,-95.25,0.0,bottom
LED21,-200.515252,-97.078569,15.0,bottom
LED22,-183.67375,-105.848892,30.0,bottom
LED23,-119.0625,-35.71875,0.0,bottom
LED24,-23.8125,-57.15,0.0,bottom
LED25,-119.0625,-73.81875,0.0,bottom
LED26,-23.8125,-95.25,0.0,bottom
LED27,-100.0125,-33.3375,0.0,bottom
LED28,-42.8625,-57.15,0.0,bottom
LED29,-100.0125,-71.4375,0.0,bottom
LED3,-228.6,-28.575,0.0,bottom
LED30,-80.9625,-28.575,0.0,bottom
LED31,-61.9125,-52.3875,0.0,bottom
LED32,-80.9625,-66.675,0.0,bottom
LED33,-61.9125,-33.3375,0.0,bottom
LED34,-80.9625,-47.625,0.0,bottom
LED35,-61.9125,-71.4375,0.0,bottom
LED36,-90.4875,-95.25,0.0,bottom
LED37,-42.8625,-38.1,0.0,bottom
LED38,-100.0125,-52.3875,0.0,bottom
LED39,-42.8625,-76.2,0.0,bottom
LED4,-247.65,-33.3375,0.0,bottom
LED40,-109.050374,-97.078569,345.0,bottom
LED41,-23.8125,-38.1,0.0,bottom
LED42,-119.0625,-54.76875,0.0,bottom
LED43,-23.8125,-76.2,0.0,bottom
LED44,-126.61908,-104.655802,330.0,bottom
LED5,-266.7,-38.1,0.0,bottom
LED6,-285.75,-38.1,0.0,bottom
LED7,-285.75,-57.15,0.0,bottom
LED8,-266.7,-57.15,0.0,bottom
LED9,-247.65,-52.3875,0.0,bottom
R1,-163.115768,-30.243772,270.0,bottom
R2,-170.259518,-30.268772,90.0,bottom
R3,-140.49375,-30.24375,270.0,bottom
R4,-147.6375,-30.26875,90.0,bottom
S1,-166.6875,-18.454703,180.0,top
S2,-142.875,-18.454703,180.0,top
SW1,-285.75,-28.575,0.0,top
SW10,-228.6,-38.1,0.0,top
SW11,-209.55,-42.8625,0.0,top
SW12,-190.5,-45.24375,0.0,top
SW13,-285.75,-66.675,0.0,top
SW14,-266.7,-66.675,0.0,top
SW15,-247.65,-61.9125,0.0,top
SW16,-228.6,-57.15,0.0,top
SW17,-209.55,-61.9125,0.0,top
SW18,-190.5,-64.29375,0.0,top
SW19,-285.75,-85.725,0.0,top
SW2,-266.7,-28.575,0.0,top
SW20,-219.075,-85.725,0.0,top
SW21,-198.05,-87.878125,345.0,top
SW22,-178.91125,-97.6,330.0,top
SW23,-23.8125,-28.575,0.0,top
SW24,-23.8125,-47.625,0.0,top
SW25,-23.8125,-66.675,0.0,top
SW26,-23.8125,-85.725,0.0,top
SW27,-42.8625,-28.575,0.0,top
SW28,-42.8625,-47.625,0.0,top
SW29,-42.8625,-66.675,0.0,top
SW3,-247.65,-23.8125,0.0,top
SW30,-61.9125,-23.8125,0.0,top
SW31,-61.9125,-42.8625,0.0,top
SW32,-61.9125,-61.9125,0.0,top
SW33,-80.9625,-19.05,0.0,top
SW34,-80.9625,-38.1,0.0,top
SW35,-80.9625,-57.15,0.0,top
SW36,-90.4875,-85.725,0.0,top
SW37,-100.0125,-23.8125,0.0,top
SW38,-100.0125,-42.8625,0.0,top
SW39,-100.0125,-61.9125,0.0,top
SW4,-228.6,-19.05,0.0,top
SW40,-111.515625,-87.878125,15.0,top
SW41,-119.0625,-26.19375,0.0,top
SW42,-119.0625,-45.24375,0.0,top
SW43,-119.0625,-64.29375,0.0,top
SW44,-131.38158,-96.40691,30.0,top
SW45,-151.209375,-55.6375,270.0,top
SW46,-158.353125,-55.6375,270.0,top
SW5,-209.55,-23.8125,0.0,top
SW6,-190.5,-26.19375,0.0,top
SW7,-285.75,-47.625,0.0,top
SW8,-266.7,-47.625,0.0,top
SW9,-247.65,-42.8625,0.0,top
TP1,-166.092327,-26.193772,0.0,top
TP2,-170.259518,-26.193772,0.0,top
TP3,-143.470309,-26.19375,0.0,top
TP4,-147.6375,-26.19375,0.0,top
U1,-166.21125,-33.81375,0.0,top
U2,-143.35125,-33.81375,0.0,top
